state,district,total_enrollment,total_biometric_updates,total_demographic_updates,total_updates,total_activity,drm_score,category
andaman_and_nicobar_islands,nicobar,76,1813,791,2604,2680,0.9432835820895522,High Update Pressure
andaman_and_nicobar_islands,south_andaman,228,10487,3696,14183,14411,0.968357504683922,Very High Update Pressure
andhra_pradesh,alluri_sitharama_raju,1255,18607,12871,31478,32733,0.9233189747349769,Moderate Update Pressure
andhra_pradesh,anakapalli,543,6723,13460,20183,20726,0.9476020457396507,Very High Update Pressure
andhra_pradesh,ananthapuramu,9596,287299,154715,442014,451610,0.9575031553774275,Very High Update Pressure
andhra_pradesh,annamayya,1021,9712,33634,43346,44367,0.9539748010909009,Very High Update Pressure
andhra_pradesh,bapatla,492,5982,13514,19496,19988,0.9507704622773664,Very High Update Pressure
andhra_pradesh,chittoor,8199,251438,169636,421074,429273,0.9618005325282513,Very High Update Pressure
andhra_pradesh,east_godavari,7678,301850,156025,457875,465553,0.9670155707298632,Very High Update Pressure
andhra_pradesh,eluru,629,8230,17584,25814,26443,0.9524259728472564,Very High Update Pressure
andhra_pradesh,guntur,9729,291694,177221,468915,478644,0.9593476571313962,Very High Update Pressure
andhra_pradesh,kakinada,969,11698,28269,39967,40936,0.9526578073089701,Very High Update Pressure
andhra_pradesh,krishna,6737,233247,111849,345096,351833,0.9617034217938625,Very High Update Pressure
andhra_pradesh,kurnool,11770,350633,177645,528278,540048,0.956411281960122,Very High Update Pressure
andhra_pradesh,nandyal,905,10640,27385,38025,38930,0.9535062933470332,Very High Update Pressure
andhra_pradesh,ntr,933,13559,549,14108,15041,0.8759390997938967,Very Low Update Pressure
andhra_pradesh,palnadu,860,10053,25495,35548,36408,0.9527576356844649,Very High Update Pressure
andhra_pradesh,parvathipuram_manyam,508,10630,9391,20021,20529,0.9505090359978567,Very High Update Pressure
andhra_pradesh,prakasam,7623,212299,120498,332797,340420,0.9552141472298925,Very High Update Pressure
andhra_pradesh,sri_sathya_sai,938,10415,22107,32522,33460,0.9439330543933054,High Update Pressure
andhra_pradesh,srikakulam,4300,192607,135699,328306,332606,0.9741435812943844,Very High Update Pressure
andhra_pradesh,tirupati,1719,10398,33230,43628,45347,0.9241846208128431,Moderate Update Pressure
andhra_pradesh,visakhapatnam,8404,311303,157193,468496,476900,0.9647557139861607,Very High Update Pressure
