state,district,pincode_x,age_0_5,age_5_17,age_18_greater,pincode_y,bio_age_5_17,bio_age_17_,pincode,demo_age_5_17,demo_age_17_,child_to_bio_gap,demo_without_bio_gap,child_to_adult_gap,q1_insight,migration_pressure_index,migration_signal
andaman and nicobar islands,nicobar,29027753,65,11,0,148116101,815,719,0,0,0,-804,-719,11,Backlog clearing / catch-up activity,719,Severe urban pressure (migration hub)
andaman and nicobar islands,north middle andaman,119810864,193,9,0,548446410,3637,3735,0,0,0,-3628,-3735,9,Backlog clearing / catch-up activity,3735,Severe urban pressure (migration hub)
andaman and nicobar islands,south andaman,136175213,210,11,0,661534010,5742,3347,0,0,0,-5731,-3347,11,Backlog clearing / catch-up activity,3347,Severe urban pressure (migration hub)
andhra pradesh,alluri sitharama raju,385373165,1086,111,34,982674348,7853,8761,0,0,0,-7742,-8761,77,Backlog clearing / catch-up activity,250.3142857,Severe urban pressure (migration hub)
andhra pradesh,anakapalli,231004289,513,12,8,774777289,3324,2947,0,0,0,-3312,-2947,4,Backlog clearing / catch-up activity,327.4444444,Severe urban pressure (migration hub)
andhra pradesh,ananthapuramu,3024102952,8828,603,10,9332041342,161301,86049,0,0,0,-160698,-86049,593,Backlog clearing / catch-up activity,7822.636364,Severe urban pressure (migration hub)
andhra pradesh,annamayya,353443400,838,47,105,904288455,5555,3652,0,0,0,-5508,-3652,-58,Backlog clearing / catch-up activity,34.45283019,Severe urban pressure (migration hub)
andhra pradesh,bapatla,212212327,414,52,16,852080264,3785,1952,0,0,0,-3733,-1952,36,Backlog clearing / catch-up activity,114.8235294,Severe urban pressure (migration hub)
andhra pradesh,chittoor,1844663286,7396,638,42,3818554414,149954,73297,0,0,0,-149316,-73297,596,Backlog clearing / catch-up activity,1704.581395,Severe urban pressure (migration hub)
andhra pradesh,east godavari,2227626623,7044,482,10,5595380497,186618,85434,0,0,0,-186136,-85434,472,Backlog clearing / catch-up activity,7766.727273,Severe urban pressure (migration hub)
