Month,Receiver_District,Receiver_Stress,Donor_District,Donor_Stress,Priority
Mar,pratapgarh,93.19,thane,0.0,CRITICAL
Mar,hamirpur,88.74,kancheepuram,0.0,CRITICAL
Mar,bilaspur,1.69,north west,0.0,HIGH
Apr,madhubani,260.51,paschim bardhaman,0.1,CRITICAL
Apr,gwalior,188.82,yadadri bhuvanagiri,0.14,CRITICAL
Apr,bahraich,167.3,maihar,0.17,CRITICAL
Apr,chhatrapati sambhajinagar,158.13,mayiladuthurai,0.19,CRITICAL
Apr,jaunpur,142.4,kallakurichi,0.2,CRITICAL
Apr,aligarh,138.45,wanaparthy,0.2,CRITICAL
Apr,mahrajganj,122.36,dungarpur,0.21,CRITICAL
Apr,sitamarhi,113.14,bhadradri kothagudem,0.21,CRITICAL
Apr,agra,99.11,jhalawar,0.21,CRITICAL
Apr,gautam buddha nagar,85.46,janjgir champa,0.21,CRITICAL
Apr,east khasi hills,80.4,jogulamba gadwal,0.22,CRITICAL
Apr,pratapgarh,37.05,banswara,0.22,CRITICAL
Apr,hamirpur,26.42,mulugu,0.22,CRITICAL
Apr,west khasi hills,25.87,kalimpong,0.22,CRITICAL
Apr,west jaintia hills,17.84,chengalpattu,0.22,CRITICAL
Apr,nellore,2.46,medchal malkajgiri,0.24,CRITICAL
Apr,west,2.32,mahabubabad,0.24,CRITICAL
Apr,kanpur nagar,1.99,kumuram bheem asifabad,0.25,HIGH
Apr,firozabad,1.99,bhilwara,0.26,HIGH
Apr,purbi champaran,1.99,tenkasi,0.26,HIGH
Apr,bengaluru urban,1.99,narayanpet,0.26,HIGH
Apr,unnao,1.99,nagarkurnool,0.27,HIGH
Apr,bhind,1.99,khargone west nimar,0.28,HIGH
Apr,ghaziabad,1.98,siddipet,0.28,HIGH
Apr,patan,1.97,mancherial,0.29,HIGH
Apr,banas kantha,1.95,baran,0.29,HIGH
Apr,kokrajhar,1.93,chittorgarh,0.3,HIGH
Apr,marigaon,1.92,rajanna sircilla,0.3,HIGH
Apr,mohla-manpur-ambagarh chouki,1.72,bapatla,0.31,HIGH
Apr,gaurela-pendra-marwahi,1.61,nirmal,0.31,HIGH
May,gwalior,215.59,mahabubnagar,0.13,CRITICAL
May,sitamarhi,86.36,mauganj,0.14,CRITICAL
May,pratapgarh,29.12,mamit,0.22,CRITICAL
May,hamirpur,21.34,khandwa east nimar,0.24,CRITICAL
May,west khasi hills,13.02,champhai,0.24,CRITICAL
May,gautam buddha nagar,2.64,shahdara,0.26,CRITICAL
May,agra,2.3,north garo hills,0.29,CRITICAL
May,chhatrapati sambhajinagar,2.25,lower siang,0.3,CRITICAL
May,nandyal,2.16,sri potti sriramulu nellore,0.3,CRITICAL
May,madhubani,1.99,nicobar,0.31,HIGH
May,bahraich,1.98,poonch,0.33,HIGH
May,jaunpur,1.98,siaha,0.33,HIGH
May,mahrajganj,1.98,kolasib,0.33,HIGH
May,aligarh,1.97,aizawl,0.33,HIGH
May,east khasi hills,1.96,serchhip,0.36,HIGH
May,west jaintia hills,1.86,unakoti,0.41,HIGH
May,konaseema,1.81,janjgir champa,0.41,HIGH
May,annamayya,1.6,vikarabad,0.41,HIGH
May,palnadu,1.55,lawngtlai,0.43,HIGH
Jun,sitamarhi,44.04,north garo hills,0.09,CRITICAL
Jun,pratapgarh,21.75,siaha,0.21,CRITICAL
Jun,hamirpur,18.95,jagitial,0.23,CRITICAL
Jun,kondagaon,10.38,mamit,0.28,CRITICAL
Jun,mahasamund,5.33,kargil,0.31,CRITICAL
Jun,rajnandgaon,3.01,kolasib,0.33,CRITICAL
Jun,gwalior,2.86,bara banki,0.35,CRITICAL
Jun,gaurela-pendra-marwahi,2.36,serchhip,0.36,CRITICAL
Jun,jashpur,2.16,karbi anglong,0.37,CRITICAL
Jun,korea,1.9,lunglei,0.37,HIGH
Jun,korba,1.9,pilibhit,0.42,HIGH
Jun,west khasi hills,1.84,phek,0.42,HIGH
Jun,uttar bastar kanker,1.82,majuli,0.44,HIGH
Jun,bilaspur,1.81,shamli,0.44,HIGH
Jun,dakshin bastar dantewada,1.77,unakoti,0.45,HIGH
Jun,palnadu,1.72,etawah,0.45,HIGH
Jun,balodabazar bhatapara,1.63,gyalshing,0.46,HIGH
Jun,balrampur ramanujganj,1.61,mangan,0.48,HIGH
Jun,bengaluru rural,1.56,south west khasi hills,0.48,HIGH
Jun,burhanpur,1.55,zunheboto,0.48,HIGH
Jun,kumuram bheem asifabad,1.55,jiribam,0.49,HIGH
Jun,mohla manpur ambagarh chouki,1.53,kamrup,0.49,HIGH
Jun,kabeerdham,1.52,biswanath,0.49,HIGH
Jun,raipur,1.52,darrang,0.5,HIGH
Jun,balod,1.51,kurukshetra,0.5,HIGH
Jul,hamirpur,60.48,eluru,0.32,CRITICAL
Jul,pratapgarh,37.39,sri potti sriramulu nellore,0.34,CRITICAL
Jul,imphal east,8.25,lahaul and spiti,0.42,CRITICAL
Jul,thoubal,7.04,karbi anglong,0.47,CRITICAL
Jul,kakching,6.66,champhai,0.49,CRITICAL
Jul,imphal west,6.41,ananthapuramu,0.49,CRITICAL
Jul,bishnupur,6.1,manendragarh-chirmiri-bharatpur,0.49,CRITICAL
Jul,narayanpur,4.24,visakhapatnam,0.51,CRITICAL
Jul,malerkotla,3.96,khargone west nimar,0.52,CRITICAL
Jul,dakshin bastar dantewada,3.23,bara banki,0.54,CRITICAL
Jul,yadadri bhuvanagiri,3.08,vizianagaram,0.55,CRITICAL
Jul,firozabad,2.95,prakasam,0.55,CRITICAL
Jul,bharatpur,2.84,east godavari,0.56,CRITICAL
Jul,senapati,2.64,srikakulam,0.56,CRITICAL
Jul,goalpara,2.62,guntur,0.57,CRITICAL
Jul,kushinagar,2.6,kadapa,0.58,CRITICAL
Jul,ukhrul,2.5,krishna,0.6,CRITICAL
Jul,sitamarhi,2.49,peren,0.6,CRITICAL
Jul,gautam buddha nagar,2.42,lawngtlai,0.6,CRITICAL
Jul,marigaon,2.41,kolasib,0.61,CRITICAL
Jul,jhalawar,2.39,sri sathya sai,0.61,CRITICAL
Jul,uttar dinajpur,2.39,chikkaballapura,0.62,CRITICAL
Jul,chandigarh,2.36,ranipet,0.62,CRITICAL
Jul,mahrajganj,2.28,upper siang,0.62,CRITICAL
Jul,hojai,2.23,kurnool,0.63,CRITICAL
Jul,medchal malkajgiri,2.22,chittoor,0.64,CRITICAL
Jul,churachandpur,2.16,parvathipuram manyam,0.65,CRITICAL
Jul,kinnaur,2.15,bapatla,0.65,CRITICAL
Jul,morbi,2.08,west godavari,0.65,CRITICAL
Jul,patan,2.08,palnadu,0.66,CRITICAL
Jul,sribhumi,2.06,biswanath,0.66,CRITICAL
Jul,bhind,2.02,mohla-manpur-ambagarh chouki,0.66,CRITICAL
Jul,ferozepur,2.01,gadag,0.66,CRITICAL
Jul,hailakandi,2.0,chikkamagaluru,0.68,HIGH
Jul,gurdaspur,1.99,south garo hills,0.69,HIGH
Jul,sivasagar,1.98,unakoti,0.7,HIGH
Jul,chittorgarh,1.96,mandya,0.72,HIGH
Jul,s.a.s nagar,1.96,tawang,0.74,HIGH
Jul,mungeli,1.94,nirmal,0.74,HIGH
Jul,baran,1.92,sidhi,0.75,HIGH
Jul,kalimpong,1.91,kakinada,0.75,HIGH
Jul,dhemaji,1.9,sahebganj,0.75,HIGH
Jul,aligarh,1.89,mangan,0.77,HIGH
Jul,tinsukia,1.87,tirupathur,0.77,HIGH
Jul,lalitpur,1.86,chumoukedima,0.77,HIGH
Jul,mumbai suburban,1.83,south goa,0.77,HIGH
Jul,longding,1.83,keonjhar,0.78,HIGH
Jul,dewas,1.82,udalguri,0.78,HIGH
Jul,suryapet,1.82,kulgam,0.78,HIGH
Jul,sirohi,1.81,nellore,0.78,HIGH
Jul,chandel,1.8,kabeerdham,0.78,HIGH
Jul,mon,1.79,siaha,0.78,HIGH
Jul,jaunpur,1.79,banka,0.79,HIGH
Jul,vidisha,1.78,deogarh,0.79,HIGH
Jul,jangaon,1.77,mayurbhanj,0.79,HIGH
Jul,alipurduar,1.77,sepahijala,0.8,HIGH
Jul,fatehgarh sahib,1.76,balaghat,0.8,HIGH
Sep,eastern west khasi hills,9.62,lahaul and spiti,0.0,CRITICAL
Sep,pratapgarh,5.21,ahmedabad,0.0,CRITICAL
Sep,hamirpur,5.07,yavatmal,0.0,CRITICAL
Sep,lahaul and spiti,4.75,beed,0.0,CRITICAL
Sep,siaha,4.64,thrissur,0.0,CRITICAL
Sep,kargil,4.45,alwar,0.0,CRITICAL
Sep,hamirpur,4.42,araria,0.0,CRITICAL
Sep,pratapgarh,4.33,amravati,0.0,CRITICAL
Sep,upper siang,4.19,sitamarhi,0.0,CRITICAL
Sep,hamirpur,4.11,salem,0.0,CRITICAL
Sep,hamirpur,4.03,solapur,0.0,CRITICAL
Sep,hnahthial,4.0,south 24 parganas,0.0,CRITICAL
Sep,saraikela kharsawan,3.95,east godavari,0.0,CRITICAL
Sep,hamirpur,3.95,warangal,0.0,CRITICAL
Sep,upper siang,3.93,ranga reddy,0.0,CRITICAL
Sep,zunheboto,3.85,ballia,0.0,CRITICAL
Sep,kargil,3.76,cooch behar,0.0,CRITICAL
Sep,niuland,3.75,bhagalpur,0.0,CRITICAL
Sep,kargil,3.6,fatehpur,0.0,CRITICAL
Sep,pratapgarh,3.57,nanded,0.0,CRITICAL
Sep,pakke kessang,3.5,chandauli,0.0,CRITICAL
Sep,west singhbhum,3.49,warangal,0.0,CRITICAL
Sep,lahaul and spiti,3.41,paschim bardhaman,0.0,CRITICAL
Sep,hamirpur,3.37,paschim bardhaman,0.0,CRITICAL
Sep,tseminyu,3.33,rohtas,0.0,CRITICAL
Sep,pratapgarh,3.29,banas kantha,0.0,CRITICAL
Sep,hamirpur,3.26,satna,0.0,CRITICAL
Sep,pratapgarh,3.23,udaipur,0.0,CRITICAL
Sep,karbi anglong,3.21,buldhana,0.0,CRITICAL
Sep,longleng,3.19,coimbatore,0.0,CRITICAL
Sep,hamirpur,3.17,parbhani,0.0,CRITICAL
Sep,west singhbhum,3.08,amravati,0.0,CRITICAL
Sep,mamit,3.03,salem,0.0,CRITICAL
Sep,pakke kessang,3.0,tirunelveli,0.0,CRITICAL
Sep,khawzawl,3.0,viluppuram,0.0,CRITICAL
Sep,leparada,3.0,howrah,0.0,CRITICAL
Sep,east singhbhum,2.99,guntur,0.0,CRITICAL
Sep,pratapgarh,2.93,raigarh,0.0,CRITICAL
Sep,shamator,2.91,vadodara,0.0,CRITICAL
Sep,shamator,2.9,jodhpur,0.0,CRITICAL
Sep,niuland,2.86,nagpur,0.0,CRITICAL
Sep,lower subansiri,2.82,kozhikode,0.0,CRITICAL
Sep,mamit,2.77,thiruvananthapuram,0.0,CRITICAL
Sep,upper siang,2.76,mayurbhanj,0.0,CRITICAL
Sep,kamle,2.76,howrah,0.0,CRITICAL
Sep,karbi anglong,2.74,saharanpur,0.0,CRITICAL
Sep,siaha,2.74,khammam,0.0,CRITICAL
Sep,lower dibang valley,2.73,west godavari,0.0,CRITICAL
Sep,paschim bardhaman,2.66,deoria,0.0,CRITICAL
Sep,west singhbhum,2.63,palakkad,0.0,CRITICAL
Sep,sarangarh bilaigarh,2.61,aurangabad,0.0,CRITICAL
Sep,sarangarh bilaigarh,2.61,jhansi,0.0,CRITICAL
Sep,anjaw,2.59,ganjam,0.0,CRITICAL
Sep,bundi,2.55,udaipur,0.0,CRITICAL
